NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,355,350,705
CENTRE HISTORIC,DE   6  A  10  ANYS,260,210,470
CENTRE HISTORIC,DE  11  A  15  ANYS,194,177,371
CENTRE HISTORIC,DE  16  A  20  ANYS,235,226,461
CENTRE HISTORIC,DE  21  A  25  ANYS,339,302,641
CENTRE HISTORIC,DE  26  A  30  ANYS,424,399,823
CENTRE HISTORIC,DE  31  A  35  ANYS,646,481,1127
CENTRE HISTORIC,DE  36  A  40  ANYS,679,439,1118
CENTRE HISTORIC,DE  41  A  45  ANYS,587,448,1035
CENTRE HISTORIC,DE  46  A  50  ANYS,459,325,784
CENTRE HISTORIC,DE  51  A  55  ANYS,361,299,660
CENTRE HISTORIC,DE  56  A  60  ANYS,239,198,437
CENTRE HISTORIC,DE  61  A  65  ANYS,188,180,368
CENTRE HISTORIC,DE  66  A  70  ANYS,138,168,306
CENTRE HISTORIC,DE  71  A  75  ANYS,124,166,290
CENTRE HISTORIC,DE  76  A  80  ANYS,109,195,304
CENTRE HISTORIC,MES   DE   80  ANYS,179,396,575
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,112,105,217
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,76,84,160
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,78,72,150
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,84,85,169
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,128,148,276
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,181,166,347
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,227,175,402
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,245,169,414
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,221,152,373
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,161,136,297
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,150,158,308
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,116,108,224
RAMBLA FERRAN - ESTACIO,DE  61  A  65  ANYS,101,107,208
RAMBLA FERRAN - ESTACIO,DE  66  A  70  ANYS,64,54,118
RAMBLA FERRAN - ESTACIO,DE  71  A  75  ANYS,39,45,84
RAMBLA FERRAN - ESTACIO,DE  76  A  80  ANYS,45,57,102
RAMBLA FERRAN - ESTACIO,MES   DE   80  ANYS,52,123,175
UNIVERSITAT,DE   0  A   5  ANYS,277,262,539
UNIVERSITAT,DE   6  A  10  ANYS,214,210,424
UNIVERSITAT,DE  11  A  15  ANYS,221,233,454
UNIVERSITAT,DE  16  A  20  ANYS,259,305,564
UNIVERSITAT,DE  21  A  25  ANYS,325,394,719
UNIVERSITAT,DE  26  A  30  ANYS,374,367,741
UNIVERSITAT,DE  31  A  35  ANYS,435,387,822
UNIVERSITAT,DE  36  A  40  ANYS,455,392,847
UNIVERSITAT,DE  41  A  45  ANYS,430,391,821
UNIVERSITAT,DE  46  A  50  ANYS,388,428,816
UNIVERSITAT,DE  51  A  55  ANYS,410,453,863
UNIVERSITAT,DE  56  A  60  ANYS,372,425,797
UNIVERSITAT,DE  61  A  65  ANYS,282,367,649
UNIVERSITAT,DE  66  A  70  ANYS,293,348,641
UNIVERSITAT,DE  71  A  75  ANYS,193,264,457
UNIVERSITAT,DE  76  A  80  ANYS,173,292,465
UNIVERSITAT,MES   DE   80  ANYS,291,611,902
PRINCEP DE VIANA - CLOT,DE   0  A   5  ANYS,340,310,650
PRINCEP DE VIANA - CLOT,DE   6  A  10  ANYS,248,261,509
PRINCEP DE VIANA - CLOT,DE  11  A  15  ANYS,272,244,516
PRINCEP DE VIANA - CLOT,DE  16  A  20  ANYS,313,277,590
PRINCEP DE VIANA - CLOT,DE  21  A  25  ANYS,371,362,733
PRINCEP DE VIANA - CLOT,DE  26  A  30  ANYS,407,382,789
PRINCEP DE VIANA - CLOT,DE  31  A  35  ANYS,501,424,925
PRINCEP DE VIANA - CLOT,DE  36  A  40  ANYS,520,421,941
PRINCEP DE VIANA - CLOT,DE  41  A  45  ANYS,513,424,937
PRINCEP DE VIANA - CLOT,DE  46  A  50  ANYS,468,478,946
PRINCEP DE VIANA - CLOT,DE  51  A  55  ANYS,424,401,825
PRINCEP DE VIANA - CLOT,DE  56  A  60  ANYS,341,341,682
PRINCEP DE VIANA - CLOT,DE  61  A  65  ANYS,252,354,606
PRINCEP DE VIANA - CLOT,DE  66  A  70  ANYS,251,307,558
PRINCEP DE VIANA - CLOT,DE  71  A  75  ANYS,174,239,413
PRINCEP DE VIANA - CLOT,DE  76  A  80  ANYS,174,271,445
PRINCEP DE VIANA - CLOT,MES   DE   80  ANYS,237,425,662
INSTITUTS - TEMPLERS,DE   0  A   5  ANYS,182,166,348
INSTITUTS - TEMPLERS,DE   6  A  10  ANYS,166,157,323
INSTITUTS - TEMPLERS,DE  11  A  15  ANYS,167,179,346
INSTITUTS - TEMPLERS,DE  16  A  20  ANYS,181,171,352
INSTITUTS - TEMPLERS,DE  21  A  25  ANYS,207,227,434
INSTITUTS - TEMPLERS,DE  26  A  30  ANYS,205,200,405
INSTITUTS - TEMPLERS,DE  31  A  35  ANYS,228,247,475
INSTITUTS - TEMPLERS,DE  36  A  40  ANYS,304,262,566
INSTITUTS - TEMPLERS,DE  41  A  45  ANYS,279,259,538
INSTITUTS - TEMPLERS,DE  46  A  50  ANYS,258,332,590
INSTITUTS - TEMPLERS,DE  51  A  55  ANYS,248,278,526
INSTITUTS - TEMPLERS,DE  56  A  60  ANYS,210,221,431
INSTITUTS - TEMPLERS,DE  61  A  65  ANYS,170,212,382
INSTITUTS - TEMPLERS,DE  66  A  70  ANYS,146,226,372
INSTITUTS - TEMPLERS,DE  71  A  75  ANYS,128,144,272
INSTITUTS - TEMPLERS,DE  76  A  80  ANYS,104,166,270
INSTITUTS - TEMPLERS,MES   DE   80  ANYS,159,269,428
XALETS - HUMBERT TORRES,DE   0  A   5  ANYS,96,98,194
XALETS - HUMBERT TORRES,DE   6  A  10  ANYS,74,81,155
XALETS - HUMBERT TORRES,DE  11  A  15  ANYS,81,67,148
XALETS - HUMBERT TORRES,DE  16  A  20  ANYS,113,84,197
XALETS - HUMBERT TORRES,DE  21  A  25  ANYS,127,96,223
XALETS - HUMBERT TORRES,DE  26  A  30  ANYS,142,137,279
XALETS - HUMBERT TORRES,DE  31  A  35  ANYS,177,137,314
XALETS - HUMBERT TORRES,DE  36  A  40  ANYS,143,125,268
XALETS - HUMBERT TORRES,DE  41  A  45  ANYS,154,138,292
XALETS - HUMBERT TORRES,DE  46  A  50  ANYS,126,152,278
XALETS - HUMBERT TORRES,DE  51  A  55  ANYS,112,150,262
XALETS - HUMBERT TORRES,DE  56  A  60  ANYS,136,157,293
XALETS - HUMBERT TORRES,DE  61  A  65  ANYS,143,153,296
XALETS - HUMBERT TORRES,DE  66  A  70  ANYS,114,150,264
XALETS - HUMBERT TORRES,DE  71  A  75  ANYS,98,137,235
XALETS - HUMBERT TORRES,DE  76  A  80  ANYS,71,107,178
XALETS - HUMBERT TORRES,MES   DE   80  ANYS,101,193,294
"CAMP D,ESPORTS",DE   0  A   5  ANYS,97,88,185
"CAMP D,ESPORTS",DE   6  A  10  ANYS,96,93,189
"CAMP D,ESPORTS",DE  11  A  15  ANYS,102,90,192
"CAMP D,ESPORTS",DE  16  A  20  ANYS,102,114,216
"CAMP D,ESPORTS",DE  21  A  25  ANYS,152,141,293
"CAMP D,ESPORTS",DE  26  A  30  ANYS,126,142,268
"CAMP D,ESPORTS",DE  31  A  35  ANYS,144,156,300
"CAMP D,ESPORTS",DE  36  A  40  ANYS,175,146,321
"CAMP D,ESPORTS",DE  41  A  45  ANYS,157,171,328
"CAMP D,ESPORTS",DE  46  A  50  ANYS,163,159,322
"CAMP D,ESPORTS",DE  51  A  55  ANYS,162,184,346
"CAMP D,ESPORTS",DE  56  A  60  ANYS,165,175,340
"CAMP D,ESPORTS",DE  61  A  65  ANYS,132,175,307
"CAMP D,ESPORTS",DE  66  A  70  ANYS,131,145,276
"CAMP D,ESPORTS",DE  71  A  75  ANYS,91,129,220
"CAMP D,ESPORTS",DE  76  A  80  ANYS,80,112,192
"CAMP D,ESPORTS",MES   DE   80  ANYS,109,223,332
JOC DE LA BOLA,DE   0  A   5  ANYS,80,73,153
JOC DE LA BOLA,DE   6  A  10  ANYS,72,71,143
JOC DE LA BOLA,DE  11  A  15  ANYS,94,104,198
JOC DE LA BOLA,DE  16  A  20  ANYS,118,142,260
JOC DE LA BOLA,DE  21  A  25  ANYS,135,126,261
JOC DE LA BOLA,DE  26  A  30  ANYS,87,77,164
JOC DE LA BOLA,DE  31  A  35  ANYS,80,75,155
JOC DE LA BOLA,DE  36  A  40  ANYS,73,90,163
JOC DE LA BOLA,DE  41  A  45  ANYS,90,94,184
JOC DE LA BOLA,DE  46  A  50  ANYS,118,189,307
JOC DE LA BOLA,DE  51  A  55  ANYS,196,212,408
JOC DE LA BOLA,DE  56  A  60  ANYS,127,133,260
JOC DE LA BOLA,DE  61  A  65  ANYS,103,123,226
JOC DE LA BOLA,DE  66  A  70  ANYS,84,83,167
JOC DE LA BOLA,DE  71  A  75  ANYS,47,53,100
JOC DE LA BOLA,DE  76  A  80  ANYS,32,47,79
JOC DE LA BOLA,MES   DE   80  ANYS,36,69,105
MARIOLA,DE   0  A   5  ANYS,431,406,837
MARIOLA,DE   6  A  10  ANYS,291,333,624
MARIOLA,DE  11  A  15  ANYS,241,245,486
MARIOLA,DE  16  A  20  ANYS,258,284,542
MARIOLA,DE  21  A  25  ANYS,360,345,705
MARIOLA,DE  26  A  30  ANYS,444,372,816
MARIOLA,DE  31  A  35  ANYS,519,456,975
MARIOLA,DE  36  A  40  ANYS,550,369,919
MARIOLA,DE  41  A  45  ANYS,436,354,790
MARIOLA,DE  46  A  50  ANYS,399,356,755
MARIOLA,DE  51  A  55  ANYS,371,392,763
MARIOLA,DE  56  A  60  ANYS,342,356,698
MARIOLA,DE  61  A  65  ANYS,287,312,599
MARIOLA,DE  66  A  70  ANYS,239,286,525
MARIOLA,DE  71  A  75  ANYS,197,267,464
MARIOLA,DE  76  A  80  ANYS,189,277,466
MARIOLA,MES   DE   80  ANYS,209,364,573
BALAFIA,DE   0  A   5  ANYS,638,616,1254
BALAFIA,DE   6  A  10  ANYS,527,533,1060
BALAFIA,DE  11  A  15  ANYS,327,295,622
BALAFIA,DE  16  A  20  ANYS,297,271,568
BALAFIA,DE  21  A  25  ANYS,319,339,658
BALAFIA,DE  26  A  30  ANYS,374,438,812
BALAFIA,DE  31  A  35  ANYS,624,620,1244
BALAFIA,DE  36  A  40  ANYS,897,824,1721
BALAFIA,DE  41  A  45  ANYS,721,627,1348
BALAFIA,DE  46  A  50  ANYS,565,514,1079
BALAFIA,DE  51  A  55  ANYS,425,398,823
BALAFIA,DE  56  A  60  ANYS,316,310,626
BALAFIA,DE  61  A  65  ANYS,253,266,519
BALAFIA,DE  66  A  70  ANYS,220,276,496
BALAFIA,DE  71  A  75  ANYS,150,210,360
BALAFIA,DE  76  A  80  ANYS,149,192,341
BALAFIA,MES   DE   80  ANYS,191,354,545
SECA DE SANT PERE,DE   0  A   5  ANYS,145,159,304
SECA DE SANT PERE,DE   6  A  10  ANYS,119,133,252
SECA DE SANT PERE,DE  11  A  15  ANYS,124,129,253
SECA DE SANT PERE,DE  16  A  20  ANYS,109,82,191
SECA DE SANT PERE,DE  21  A  25  ANYS,104,83,187
SECA DE SANT PERE,DE  26  A  30  ANYS,122,122,244
SECA DE SANT PERE,DE  31  A  35  ANYS,153,157,310
SECA DE SANT PERE,DE  36  A  40  ANYS,188,183,371
SECA DE SANT PERE,DE  41  A  45  ANYS,196,181,377
SECA DE SANT PERE,DE  46  A  50  ANYS,150,122,272
SECA DE SANT PERE,DE  51  A  55  ANYS,138,126,264
SECA DE SANT PERE,DE  56  A  60  ANYS,100,71,171
SECA DE SANT PERE,DE  61  A  65  ANYS,82,99,181
SECA DE SANT PERE,DE  66  A  70  ANYS,79,92,171
SECA DE SANT PERE,DE  71  A  75  ANYS,46,68,114
SECA DE SANT PERE,DE  76  A  80  ANYS,51,73,124
SECA DE SANT PERE,MES   DE   80  ANYS,41,75,116
PARDINYES,DE   0  A   5  ANYS,530,489,1019
PARDINYES,DE   6  A  10  ANYS,471,417,888
PARDINYES,DE  11  A  15  ANYS,406,353,759
PARDINYES,DE  16  A  20  ANYS,328,317,645
PARDINYES,DE  21  A  25  ANYS,350,326,676
PARDINYES,DE  26  A  30  ANYS,358,377,735
PARDINYES,DE  31  A  35  ANYS,520,534,1054
PARDINYES,DE  36  A  40  ANYS,680,660,1340
PARDINYES,DE  41  A  45  ANYS,686,652,1338
PARDINYES,DE  46  A  50  ANYS,635,581,1216
PARDINYES,DE  51  A  55  ANYS,477,450,927
PARDINYES,DE  56  A  60  ANYS,348,344,692
PARDINYES,DE  61  A  65  ANYS,229,263,492
PARDINYES,DE  66  A  70  ANYS,181,226,407
PARDINYES,DE  71  A  75  ANYS,85,158,243
PARDINYES,DE  76  A  80  ANYS,127,172,299
PARDINYES,MES   DE   80  ANYS,136,245,381
CAPPONT,DE   0  A   5  ANYS,469,458,927
CAPPONT,DE   6  A  10  ANYS,309,282,591
CAPPONT,DE  11  A  15  ANYS,308,273,581
CAPPONT,DE  16  A  20  ANYS,277,270,547
CAPPONT,DE  21  A  25  ANYS,312,289,601
CAPPONT,DE  26  A  30  ANYS,423,423,846
CAPPONT,DE  31  A  35  ANYS,552,550,1102
CAPPONT,DE  36  A  40  ANYS,603,575,1178
CAPPONT,DE  41  A  45  ANYS,524,496,1020
CAPPONT,DE  46  A  50  ANYS,484,463,947
CAPPONT,DE  51  A  55  ANYS,410,417,827
CAPPONT,DE  56  A  60  ANYS,352,348,700
CAPPONT,DE  61  A  65  ANYS,262,325,587
CAPPONT,DE  66  A  70  ANYS,223,258,481
CAPPONT,DE  71  A  75  ANYS,143,199,342
CAPPONT,DE  76  A  80  ANYS,145,240,385
CAPPONT,MES   DE   80  ANYS,196,325,521
LA BORDETA,DE   0  A   5  ANYS,574,454,1028
LA BORDETA,DE   6  A  10  ANYS,445,420,865
LA BORDETA,DE  11  A  15  ANYS,387,366,753
LA BORDETA,DE  16  A  20  ANYS,356,337,693
LA BORDETA,DE  21  A  25  ANYS,365,336,701
LA BORDETA,DE  26  A  30  ANYS,416,396,812
LA BORDETA,DE  31  A  35  ANYS,579,586,1165
LA BORDETA,DE  36  A  40  ANYS,715,652,1367
LA BORDETA,DE  41  A  45  ANYS,600,587,1187
LA BORDETA,DE  46  A  50  ANYS,570,529,1099
LA BORDETA,DE  51  A  55  ANYS,470,441,911
LA BORDETA,DE  56  A  60  ANYS,339,351,690
LA BORDETA,DE  61  A  65  ANYS,306,316,622
LA BORDETA,DE  66  A  70  ANYS,221,206,427
LA BORDETA,DE  71  A  75  ANYS,128,176,304
LA BORDETA,DE  76  A  80  ANYS,125,173,298
LA BORDETA,MES   DE   80  ANYS,162,260,422
MAGRANERS,DE   0  A   5  ANYS,81,69,150
MAGRANERS,DE   6  A  10  ANYS,97,66,163
MAGRANERS,DE  11  A  15  ANYS,71,72,143
MAGRANERS,DE  16  A  20  ANYS,71,72,143
MAGRANERS,DE  21  A  25  ANYS,93,96,189
MAGRANERS,DE  26  A  30  ANYS,102,101,203
MAGRANERS,DE  31  A  35  ANYS,123,101,224
MAGRANERS,DE  36  A  40  ANYS,114,99,213
MAGRANERS,DE  41  A  45  ANYS,101,108,209
MAGRANERS,DE  46  A  50  ANYS,111,102,213
MAGRANERS,DE  51  A  55  ANYS,96,78,174
MAGRANERS,DE  56  A  60  ANYS,81,78,159
MAGRANERS,DE  61  A  65  ANYS,55,53,108
MAGRANERS,DE  66  A  70  ANYS,57,53,110
MAGRANERS,DE  71  A  75  ANYS,37,46,83
MAGRANERS,DE  76  A  80  ANYS,43,46,89
MAGRANERS,MES   DE   80  ANYS,34,75,109
CAPPONT-POLIGON-VILANOV.,DE   0  A   5  ANYS,162,165,327
CAPPONT-POLIGON-VILANOV.,DE   6  A  10  ANYS,94,104,198
CAPPONT-POLIGON-VILANOV.,DE  11  A  15  ANYS,35,57,92
CAPPONT-POLIGON-VILANOV.,DE  16  A  20  ANYS,46,55,101
CAPPONT-POLIGON-VILANOV.,DE  21  A  25  ANYS,54,71,125
CAPPONT-POLIGON-VILANOV.,DE  26  A  30  ANYS,121,124,245
CAPPONT-POLIGON-VILANOV.,DE  31  A  35  ANYS,187,185,372
CAPPONT-POLIGON-VILANOV.,DE  36  A  40  ANYS,189,170,359
CAPPONT-POLIGON-VILANOV.,DE  41  A  45  ANYS,142,121,263
CAPPONT-POLIGON-VILANOV.,DE  46  A  50  ANYS,103,98,201
CAPPONT-POLIGON-VILANOV.,DE  51  A  55  ANYS,100,92,192
CAPPONT-POLIGON-VILANOV.,DE  56  A  60  ANYS,70,70,140
CAPPONT-POLIGON-VILANOV.,DE  61  A  65  ANYS,50,49,99
CAPPONT-POLIGON-VILANOV.,DE  66  A  70  ANYS,36,41,77
CAPPONT-POLIGON-VILANOV.,DE  71  A  75  ANYS,19,24,43
CAPPONT-POLIGON-VILANOV.,DE  76  A  80  ANYS,17,17,34
CAPPONT-POLIGON-VILANOV.,MES   DE   80  ANYS,19,26,45
BUTSENIT,DE   0  A   5  ANYS,21,19,40
BUTSENIT,DE   6  A  10  ANYS,25,25,50
BUTSENIT,DE  11  A  15  ANYS,36,21,57
BUTSENIT,DE  16  A  20  ANYS,32,33,65
BUTSENIT,DE  21  A  25  ANYS,33,34,67
BUTSENIT,DE  26  A  30  ANYS,25,28,53
BUTSENIT,DE  31  A  35  ANYS,49,35,84
BUTSENIT,DE  36  A  40  ANYS,43,47,90
BUTSENIT,DE  41  A  45  ANYS,49,43,92
BUTSENIT,DE  46  A  50  ANYS,71,55,126
BUTSENIT,DE  51  A  55  ANYS,62,54,116
BUTSENIT,DE  56  A  60  ANYS,38,45,83
BUTSENIT,DE  61  A  65  ANYS,63,64,127
BUTSENIT,DE  66  A  70  ANYS,45,63,108
BUTSENIT,DE  71  A  75  ANYS,39,45,84
BUTSENIT,DE  76  A  80  ANYS,34,47,81
BUTSENIT,MES   DE   80  ANYS,63,81,144
TORRES DE SANUI,DE   0  A   5  ANYS,80,65,145
TORRES DE SANUI,DE   6  A  10  ANYS,77,85,162
TORRES DE SANUI,DE  11  A  15  ANYS,80,79,159
TORRES DE SANUI,DE  16  A  20  ANYS,87,72,159
TORRES DE SANUI,DE  21  A  25  ANYS,89,83,172
TORRES DE SANUI,DE  26  A  30  ANYS,78,62,140
TORRES DE SANUI,DE  31  A  35  ANYS,71,74,145
TORRES DE SANUI,DE  36  A  40  ANYS,87,85,172
TORRES DE SANUI,DE  41  A  45  ANYS,88,108,196
TORRES DE SANUI,DE  46  A  50  ANYS,103,98,201
TORRES DE SANUI,DE  51  A  55  ANYS,113,134,247
TORRES DE SANUI,DE  56  A  60  ANYS,114,125,239
TORRES DE SANUI,DE  61  A  65  ANYS,88,73,161
TORRES DE SANUI,DE  66  A  70  ANYS,63,53,116
TORRES DE SANUI,DE  71  A  75  ANYS,35,28,63
TORRES DE SANUI,DE  76  A  80  ANYS,29,27,56
TORRES DE SANUI,MES   DE   80  ANYS,27,61,88
"BASSES D,ALPICAT",DE   0  A   5  ANYS,34,38,72
"BASSES D,ALPICAT",DE   6  A  10  ANYS,48,52,100
"BASSES D,ALPICAT",DE  11  A  15  ANYS,54,71,125
"BASSES D,ALPICAT",DE  16  A  20  ANYS,65,54,119
"BASSES D,ALPICAT",DE  21  A  25  ANYS,55,55,110
"BASSES D,ALPICAT",DE  26  A  30  ANYS,45,45,90
"BASSES D,ALPICAT",DE  31  A  35  ANYS,54,43,97
"BASSES D,ALPICAT",DE  36  A  40  ANYS,44,48,92
"BASSES D,ALPICAT",DE  41  A  45  ANYS,69,67,136
"BASSES D,ALPICAT",DE  46  A  50  ANYS,83,70,153
"BASSES D,ALPICAT",DE  51  A  55  ANYS,85,78,163
"BASSES D,ALPICAT",DE  56  A  60  ANYS,90,81,171
"BASSES D,ALPICAT",DE  61  A  65  ANYS,70,66,136
"BASSES D,ALPICAT",DE  66  A  70  ANYS,53,38,91
"BASSES D,ALPICAT",DE  71  A  75  ANYS,26,40,66
"BASSES D,ALPICAT",DE  76  A  80  ANYS,38,35,73
"BASSES D,ALPICAT",MES   DE   80  ANYS,42,67,109
LLIVIA,DE   0  A   5  ANYS,50,53,103
LLIVIA,DE   6  A  10  ANYS,32,36,68
LLIVIA,DE  11  A  15  ANYS,44,29,73
LLIVIA,DE  16  A  20  ANYS,24,26,50
LLIVIA,DE  21  A  25  ANYS,34,42,76
LLIVIA,DE  26  A  30  ANYS,57,51,108
LLIVIA,DE  31  A  35  ANYS,71,54,125
LLIVIA,DE  36  A  40  ANYS,60,59,119
LLIVIA,DE  41  A  45  ANYS,62,67,129
LLIVIA,DE  46  A  50  ANYS,61,45,106
LLIVIA,DE  51  A  55  ANYS,54,52,106
LLIVIA,DE  56  A  60  ANYS,45,48,93
LLIVIA,DE  61  A  65  ANYS,33,45,78
LLIVIA,DE  66  A  70  ANYS,49,38,87
LLIVIA,DE  71  A  75  ANYS,34,35,69
LLIVIA,DE  76  A  80  ANYS,32,54,86
LLIVIA,MES   DE   80  ANYS,54,87,141
RAIMAT - SUCHS,DE   0  A   5  ANYS,36,37,73
RAIMAT - SUCHS,DE   6  A  10  ANYS,35,41,76
RAIMAT - SUCHS,DE  11  A  15  ANYS,26,29,55
RAIMAT - SUCHS,DE  16  A  20  ANYS,30,23,53
RAIMAT - SUCHS,DE  21  A  25  ANYS,25,20,45
RAIMAT - SUCHS,DE  26  A  30  ANYS,33,26,59
RAIMAT - SUCHS,DE  31  A  35  ANYS,42,32,74
RAIMAT - SUCHS,DE  36  A  40  ANYS,43,37,80
RAIMAT - SUCHS,DE  41  A  45  ANYS,36,38,74
RAIMAT - SUCHS,DE  46  A  50  ANYS,46,29,75
RAIMAT - SUCHS,DE  51  A  55  ANYS,31,39,70
RAIMAT - SUCHS,DE  56  A  60  ANYS,30,33,63
RAIMAT - SUCHS,DE  61  A  65  ANYS,32,36,68
RAIMAT - SUCHS,DE  66  A  70  ANYS,30,26,56
RAIMAT - SUCHS,DE  71  A  75  ANYS,24,33,57
RAIMAT - SUCHS,DE  76  A  80  ANYS,28,28,56
RAIMAT - SUCHS,MES   DE   80  ANYS,32,30,62
